text,label
"Я смог помочь чайной линии жизни благодаря вашей поддержке и одобрению, это прекрасное чувство, и я так рад, что вы смогли мне помочь",1
"мне уже кажется, что я облажался, потому что обычно я вообще не ем по утрам",3
"я все еще люблю своего сына и желаю ему всего наилучшего. Я больше не могу терпеть то влияние, которое БМ оказывает на нашу жизнь, и тот факт, что это превратило моего сына в горько-злого человека, который не всегда особенно добр к окружающим, когда он чувствует стресс.",0
"я чувствую себя такой сдержанной на чужой кухне, как будто рисую на чужой картине",0
я подавлен и чувствую себя побежденным,0
"Я немного потрясен тем, что она чувствует, что ей нужно подробно и подробно объяснять размеры ее тела и т. д.",3
я чувствую большее превосходство над мертвой курицей или скорбящим ребенком,1
у меня кружится голова от ощущения элегантности в идеально сидящей юбке-карандаш,1
"я помню, как несколько дней чувствовал себя очень расстроенным",4
"я видел, слышал и читал за последние пару дней, меня впечатляют многие компании",5
"я поднялся на холм, чувствуя разочарование из-за того, что я выбрал совершенно неправильный темп для этой дистанции и что фактор, который никогда мне не мешал, оказал такое влияние на ход дня",3
"Я не могу представить сценарий реальной жизни, в котором я был бы достаточно эмоционально связан с кем-то, чтобы чувствовать себя полностью принятым и в безопасности, где для меня морально приемлемо иметь тесный и продолжительный физический контакт и где впоследствии не ожидается секса",1
"я не уверен, что заставило бы меня чувствовать себя довольным, если что-нибудь",1
я чувствовал необходимость проявить творческий подход,1
"Однако я хочу, чтобы вы знали: если кто-то заставляет вас чувствовать себя хуже, тогда ваше великолепное «я» отступите от него.",1
"мне кажется немного грубо писать пожилому джентльмену с просьбой о подарках, потому что я чувствую себя немного жадным, но что такое Рождество, если не легкая жадность",3
"ты мне нужен, мне нужен кто-то, кого я должен защищать и чувствовать себя в безопасности, я маленький, сейчас у меня период отсутствия слов",1
"Я планирую поделиться с вами своими историями из повседневной жизни, путешествиями, приключениями, вдохновением и творениями ручной работы и надеюсь, что вы тоже почувствуете вдохновение",1
"у меня уже есть рождественские елки, у меня есть две, и я чувствую праздник, что, я уверен, подстегивает меня приступить к работе над этой книгой",1
"Я наносила его один раз отдельно с небольшим количеством консилера, и в те дни, когда я чувствую себя смелой, но не хочу быть бледной, тогда это идеально",1
"я испытываю сильную страсть, когда какой-то придурок решает подшучивать над нами и подшучивать над нами",1
"я была так расстроена, что мы уже грабим Питера, чтобы заплатить Полу за нашу корову в этом году, но мы не можем позволить себе не получить корову таким образом",0
я чувствовал себя вялым из-за потребности в чем-то новом,0
"я потерял свой особый разум, но не волнуйся, я все еще в здравом уме, я просто хотел, чтобы ты почувствовал то же, что и я, читая эту книгу, я не знаю, сколько раз говорилось, что Сэм особенная, но я могу гарантировать тебе, что это было гораздо больше раз, чем я говорил в этом абзаце, я говорил тебе, что она особенная",1
"я не могу избавиться от этого грустного чувства, что хочу, чтобы меня приняли здесь, в этом моем первом доме",2
на лодке в Данию,1
"мне перестало быть холодно, и мне стало жарко",3
"мне нужно пощупать тесто, чтобы убедиться, что оно идеальное",1
тем утром я почувствовал себя немного расстроенным,0
я чувствую себя эгоистичным и испорченным,3
"Когда я писал, я был немного в тупике, чувствуя неуверенность, что могу пойти куда-нибудь с этой историей непреднамеренно",4
"я мешок qaf посмотри, кто сейчас плачет, Жасинта выглядит хорошо, великолепно, Рупол, шкуры, сестры-ножницы, Валентина, солнце сыто по горло, Кейл, кто твой папочка, Герлинг, проснись, недобрый ты",1
"мне кажется, ты знаешь, что это фальшивка в области научной фантастики",0
"я ненавижу жить под крышей своего отца, потому что это дает ему повод быть для меня засранцем, потому что он обеспечивает мне жизнь здесь, я думаю, он чувствует, что ему нужно заставить меня чувствовать себя как можно нежеланным, так что я уйду",0
"я продолжаю чувствовать себя приятно удивленным его поддержкой, а также его легкостью в новых ситуациях",5
"у меня такое ощущение, что если в ближайшие дни у меня будет активная сексуальная активность, да, я неправильно написала, что по мере того, как я кончу, некоторые части меня начнут отваливаться",1
"я чувствую изящную, теплую и любящую улыбку моей мамы, пока я кражу время, чтобы заботиться о себе и исцеляться",1
"я чувствую, что они говорят, что зять чрезвычайно популярен, тот, о котором мне не приходилось думать, такой жесткий",1
"я ел, я чувствовал легкое покалывание, как будто я чувствовал исцеление, происходящее на клеточном уровне",2
"я чувствую, что нас заставляют быть молодыми, красивыми, худыми, и в зависимости от тенденции омоложение девушек или имплантаты в области ягодиц",4
"они стали возникать у меня несколько раз в неделю, и я чувствовал себя мучимым галлюцинациями, звуками и вибрациями движущихся людей и фигур.",4
Я почти закончил недельную детоксикацию и чувствую себя потрясающе,5
"я чувствую себя эгоистичным, когда перечитываю свои предыдущие сообщения о том, как я никогда не просил молитв за других, как я никогда не думал, что могут быть другие, которые заслуживают ответа на свои молитвы раньше моих собственных",3
"я знаю, какую боль испытывают родители, когда разъяренный ребенок становится агрессивным",3
"я был на американских горках из-за этих предполагаемых ощущений, что приближается что-то неприятное",0
"Я полагаю, что мне нужно поделиться своей правдой. В последнее время я не чувствую себя очень верным. Я больше живу в сомнениях и неуверенности, чем в вере.",2
"я чувствовала себя смелой, когда купила его, и это было ясно, когда я делала макияж",1
"я чувствую себя несчастной, но я также самая гордая мама на земле",0
"я полагаю, что моя семья любит нас, несмотря ни на что, но в присутствии кого-то еще я чувствую себя неловко, когда Мишель взрывается",0
"Я не думаю, что бомбы и секс необходимы во всех историях, но я успокаиваюсь, когда вижу их в печатных журналах.",1
"я чувствую, как у меня болят яичники, разговаривая со мной, как мне нравится выражаться",0
"Крис, мне не хотелось много делать, и я просто фотографировал слишком много неважных вещей.",0
"Я устал от книги и готов выкинуть ее отсюда, но узнать, что мне дали неподходящие изображения, а затем почувствовать вину за результат, мне не понравилось.",0
"мне удалось успешно растянуть холст mxm. Я чувствую, что это само по себе является достижением для меня и стоило потраченных денег и времени. Я буду использовать холст для будущих брифов.",1
"я думаю, что чувства - одна из самых важных вещей, которые у нас есть",1
"для меня большая честь оказать влияние на эту молодую, талантливую, полностью живую, красивую девушку",1
я чувствую себя злым и вспыльчивым,3
я чувствую себя жалким куском мусора,0
"Я чувствую, что мне нужно составить список, Линн была бы потрясена этой мыслью, чтобы я ничего не пропустил",3
"я отвез Даннику в школу, я чувствовал себя немного спешащим, и вот что встретило меня, когда я завернул за угол",3
"я помню, как был чертовски зол на стрелка",3
"я чувствую себя очень счастливым и взволнованным, так как узнал так много вещей",1
"я чувствую, что на выставках и вокруг выставочных лошадей люди доверяют и расслабляются, потому что большинство выставочных лошадей безопасны и тихи, и с ними часто обращаются",1
"мне осталось сделать всего пару вещей, и в начале декабря я закончил и чувствую себя самодовольным",1
"я думаю о том, как ты мог бы заставить меня почувствовать и понять, что все будет хорошо",1
"в те времена я чувствовал себя таким никчемным, что изо всех сил пытался найти работу",0
я смогу лежать на кровати в темноте и не чувствовать ужаса хотя бы какое-то время,4
я был готов встретить маму в аэропорту и почувствовать ее всегда поддерживающие руки вокруг меня,2
"мне сегодня горько, у меня весь день настроение было странным, так что, думаю, это то",3
"когда брат моей мамы скончался после того, как попал в автомобильную аварию, он принес мне подарок, так как я с честью сдал экзамены в пятом классе",0
"я отпускаю враждебность по отношению к любому, кто, как мне кажется, обидел меня",3
"я разговариваю с собаками, потому что чувствую, что они не понимают слов, но умеют читать эмоции и знают, как оказать поддержку, я решил, что мне пора домой",2
мне хочется выбросить этот дерьмовый кусок дерьмовой бумаги,0
"меня начинает забавлять банальная комедия ошибок, в которую превращается моя жизнь",1
"я нахожу каждое тело красивым и хочу, чтобы люди чувствовали себя жизненно важными в своих телах",1
"Я слышал, что владельцы чувствуют себя жертвами своих ассоциаций, адвокаты ассоциаций или управляющий недвижимостью",0
"я прощаюсь с семьей, они все грустные и плачут, и я чувствую себя бессердечной сукой, потому что эй, я очень рада впервые летать, и, знаешь, еще провести год в другой стране",3
"Я не позволю своему ребенку плакать об этом, потому что я чувствую, что любить ее и Лили, когда она была маленькой, будет шанс, который продлится только в течение этих коротких нескольких месяцев.",2
"я, альба, я чувствую себя хорошо и вписываюсь",1
"я снова воодушевлен тем, что делаю, я чувствую, что мне нужно еще многое наверстать",1
"я также знаю, как приятно оглядываться назад и видеть, что я сдержал свое слово, и это помогает с самого начала",1
"я имею в виду действительно очень тяжелую работу, чтобы получить такие высокие технические навыки в ушу, мне немного стыдно, но каким-то образом мотивировано, когда я вижу, как дети от всей души выполняют упражнения по ушу, несмотря на их усталость",0
"я чувствую, что все становится немного ошеломляющим, несколько брызг этого тонера действительно помогают мне успокоиться и успокоиться.",1
"Я надеюсь, что вы понимаете, как мало усилий требуется, чтобы человек почувствовал себя лучше по отношению к себе или своему положению, будь то я, член семьи, друг по колледжу или старшей школе, сосед по улице или даже совершенно незнакомый человек.",1
"у меня сегодня такое праздничное настроение, что я даже собираюсь поставить елку, как только закончу это делать и познакомлюсь с событиями недели на улице коронации",1
"узнать, что я не болен, не серьезно",1
"Я хорошо учился в классе, но сочетание чувства неудачи в том, что мужчина справился со стрессом в последнее время, и моя ужасная неделя привела к тому, что я чуть не плакал после того, как закончил борьбу.",0
"я чувствую, что это редко способствует достижению какой-либо стоящей цели, и я всегда придерживаюсь правила не публиковать в Интернете ничего, что я не был бы готов сказать кому-то в лицо",1
я чувствую себя полезным,1
"я чувствую, что у некоторых из вас есть боли, и вы не можете себе представить, что увлечетесь группой или идеей, которая причиняет боль",2
"я чувствую себя уродливой, я больше склонен носить потертые джинсы и толстовку, чем красивое платье, хотя я все еще могу носить туфли на каблуках дома, чтобы немного повысить свою самооценку, но я определенно не буду покупать новую пару",0
"я еще не тоскую по дому, так что меня это устраивает",0
"я танцую, я должна чувствовать себя красивой",1
перед этим я тренируюсь каждое утро и чувствую себя великолепно,1
"я чувствую все это только по ее глазам, не по ее прикосновениям и не по ее словам, а по ее глазам я знаю, что обязательно смогу вернуть эту любовь и знаю, что она не будет напрасной",0
"я чувствовал себя великолепно до утра пятницы, когда у меня начались ужасные судороги на работе",1
для меня большая честь называть их друзьями и делиться своим братством,1
"я начал чувствовать тревогу, когда густые черные дождевые тучи ворвались в небо над городом",4
"я сказал ей, что причина, по которой я так напуган, заключается в том, что я чувствую себя небезопасно",4
"мне пока не хотелось, чтобы меня потрясла ца, поэтому я отошел в сторонку за креативными круассанами на обед",4
"я бываю в группах, я чувствую себя очень неловко и чувствую себя слишком неловко, будучи слишком разговорчивым или слишком тихим",0
"я очень рад наконец встретить того компаньона, того компаньона, который будет со мной всегда, особенно когда я одинок, очень одинокого, того компаньона, который никогда меня не разочарует, того компаньона, который обнимет меня и заставит меня почувствовать себя любимой",2
"я чувствую, что они в полной безопасности в моем блоге img src http s",1
"мне очень не терпится это сделать, так как у меня есть забавный план, как это выстегивать",1
"я чувствую возбуждение, поэтому прошу ее пойти домой",2
"я думаю, что если стихотворение не оказывает на меня давления, я не чувствую себя некомфортно в том смысле, что чувствую больше, чем могу чувствовать, понимаю больше, чем могу понять, любя больше, чем могу любить.",4
"я тоже чувствую себя чужаком в чужой стране и воспитываю сына в месте, которое не является родовым домом его отца",5
"я пошел в душ, задаваясь вопросом, что я чувствую, она была великолепна, такое фантастическое тело, такая уверенная в своих движениях, легко изящная",1
"я чувствую себя энергичным и бодрым, я более чем счастлив пойти в спортзал, побегать на улице с детьми или взять коляску на длительную прогулку, часто я делаю все три за один день",1
я все еще чувствовал себя сильным,1
"я не разрыдалась или не испытала какого-то другого опустошительного выброса чувств или мыслей, потому что, кажется, знала, что Ричу тоже пришлось пройти через свое собственное пространство, а я просто не набросился на него",1
"сегодня утром я хотела выпить латте с тыквенными специями, но было жарко, и последнее, что мне хотелось, это горячий кофе, может быть, мне немного горько",3
"я полагаю, он чувствует себя плохо, потому что в последние несколько месяцев он немного скептически относился к ее боли, в прошлом у нее была гиперхондрия и привычка к преувеличениям, хотя он никогда открыто не расспрашивал ее об этом",4
"я сжимаюсь в углах кровати, чтобы чувствовать себя уверенно",1
"Я также чувствую себя эгоистом, не будучи благодарным за жизнь, которая у меня есть, и за удивительные вещи в ней.",3
"я назвал это богом, потому что увидел бога в книге и решил, что бог — подходящее имя для чувства полного одобрения и принятия без вопросов",2
"я не знаю почему, возможно, потому, что у других девушек в офисе были красивые короткие волосы, или, возможно, я просто чувствовал бунтарство",3
"я совсем не чувствую себя несчастным, потому что моя семья не из тех, кто празднует Ид",0
"я мог бы пойти помыть машину, если чувствую себя очень щедрым, моя машина в этом нуждается",1
"я все еще чувствую себя лишенным сна, она почти спит всю ночь, давая нам",0
я просто чувствую себя очень жестоким прямо сейчас,3
"я снова веду блог, я сижу здесь, чувствуя себя довольным своими собаками, кошками и т. д., и я знаю, насколько нам повезло, правда в том, что мы",1
"мне стало смешно, а потом в пятницу я проснулся больным как собака",5
"Я чувствую необходимость защитить своих родителей от охоты на ведьм, которой может быть терапия подавленной памяти.",0
"мне противно даже то, что меня ассоциируют с этой женщиной по моей расе и национальности",3
"потом я снова горько рассмеялся, но мне не было горько",3
"я не мог понять, что он чувствует, тогда я подумал, что он тоже хотел бы быть там с нами, потому что каждый из нас знал, что как бы сильно мы ни ненавидели это поначалу, это был опыт, который мы запомним навсегда",0
"Я чувствовал себя довольно спокойно и хотел, чтобы у меня был мягкий и легкий образ, который можно было бы носить в начале простуды.",1
"я сказал ему, что, возможно, мне просто нужно время, чтобы подумать, насколько я в последнее время чувствую себя нерешительным в отношении вещей",4
"я все еще чувствую, что это оказывает жанру медвежью услугу, когда истории решаются искусственно",1
"я всегда знаю, когда я чувствую себя артистичным, когда пишу свое имя, когда у меня художественное настроение, я в манице я рисую круг, а не точку, чем больше точка, тем более артистичным я себя чувствую, и если это просто линия, похожая на знак акцента на испанском языке, я злюсь",1
"я помню, как мне было очень страшно, когда я был в Бразилии в автобусе, который поднимался по крутым горным холмам на склоне горы посреди сильного шторма, задаваясь вопросом, собираемся ли мы упасть",4
"я чувствовал, как она хнычет от мысли о том, что ее не любят и о ней не заботятся",0
"я, конечно, не собираюсь сидеть и рассказывать вам, что происходит в моей личной жизни, но я чувствую, что если вам когда-нибудь было интересно, что происходит в моей жизни, все, что вам нужно сделать, это посмотреть шоу",5
"мне жаль, что в этом посте не было больше юмора, но мне не кажется таким уж смешным",5
"я чувствую, что ступил на порог фантастического мира прогулок и бега по тропам, холмам и горам",1
"я говорю все, что приходит мне в голову, скажи тебе прямо, что я чувствую ревнивая девушка не потому, что я неуверен в себе, а потому, что я просто люблю этого человека, достойного друга, милого для того, кого я люблю",3
мне странно возвращаться на работу после однодневного отпуска,4
"Например, на меня явно повлияло тире «Счастье» Эмили Дикинсон, и я использую тире вместо двоеточий или точек с запятой, чтобы усилить ощущение поспешного зажатия в сонете.",3
"Я толще, потому что единственное, что в моей жизни может оставаться под моим контролем, это то, смогу ли я есть арахисовое масло на хлебе или нет, когда вернусь домой из невозможного дня в первом мире, выглядящем, но в третьем мире, чувствуя себя чертовски нуждающимися и заброшенными маленькими девочками.",0
"я мог бы заявить, что искупил жанр, но это не заставило меня чувствовать себя настолько разочарованным, что я даже бился головой о стену.",3
мне так грустно и безнадежно,0
"у меня такое ощущение, что мои классы немного напуганы концепцией освещенного",4
"я все еще чувствую себя разбитым, но мне нужно встать, чтобы сделать что-нибудь для сына",0
"у меня такое ощущение, что моя точка зрения не будет очень популярной, и это нормально",1
я хочу навсегда сохранить это чувство потрясенного трепета и удивления,5
"когда до меня дошел слух, что стали известны результаты экзамена за первый год обучения, я испугался, что могу оказаться в числе неудачников",4
"я хочу чувствовать, что меня ценят, и я хочу, чтобы меня ценили, я хочу, и знаю, что люди, которые меня любят, никуда не денутся, даже если характер отношений изменится",1
"я знаю, бывают дни, когда ты отвлекаешься",3
я регулярно использую его под расслабляющую музыку и всегда после этого чувствую себя бодрым,1
"я чувствую себя отвлеченным, я стараюсь как можно больше тренироваться с закрытыми глазами",3
"мне кажется, это идеально, и я вижу, что YouTube оказывает на него влияние, я даже знаю тенденции",1
"я специально хотел, чтобы танго стеснялся, а Максу, наоборот, было трудно отойти от него достаточно далеко, чтобы сделать хорошие фотографии, лол",4
"Я также не чувствовал себя странно, когда спал в своей кровати, пока они вдвоем спали в ее постели.",4
"я просто хочу, чтобы все было хорошо, поэтому я думал об этом сегодня утром, и вот то, что я весь взаперти и беспокойный, заставило меня чувствовать себя таким нуждающимся",0
"Я немного похудела, так что могла влезть в крошечную юбку, которую не могла носить, потому что до сих пор не чувствовала себя в ней уверенно.",1
"Я надеюсь, что скоро снова почувствую себя немного более творческим и буду скучать по его присутствию в моем жизненном блоге.",1
"я не фанат нынешнего президента, я консерватор, и из-за этого я почувствовал себя нежеланным",0
"я приложу ее стихи о ней, не могу больше думать и испытывать любопытство услышать эту странную пару",5
я начинаю чувствовать себя довольным своей жизнью здесь,1
я чувствую себя уязвимым и одиноким,4
"я помню, как почувствовал вдохновение и подумал, что это прекрасный пример воспитания детей",1
"мне кажется, что меня всегда наказывают за глупые поступки, и мне кажется, что меня наказывают за такое поведение",0
"я действительно чувствую, что моя жизнь сейчас идеальна, и если я не требую слишком многого, я просто надеюсь, что все останется по-прежнему",1
"я здесь, я просто чувствую себя довольным",1
"Я не говорю, что нужно вычеркнуть всех из своей жизни, но я считаю важным находить комфорт в уединенной медитации или работе над проектами в одиночку.",1
"думаю, я просто веду себя глупо и нервничаю",4
для меня это большая честь,1
"я чувствовал, что в моей жизни произошло стихийное бедствие, и это было потрясающее чувство",5
"я чувствую себя птицей, очень беззаботно летающей в воздухе",1
"мне приходится пересматривать свои ответы снова и снова, просто чтобы убедиться, что ответ звучит достаточно уместно и что человек, получивший ответ, не почувствует себя обиженным",3
"мне было грустно, когда умер мой друг, и я почувствовал, что что-то безвозвратно ушло от меня",0
"я бы умер, если бы Алекс и Мэтт сожалели, что не пришли в гости",0
"Я считаю, что обучение семей, поддержка и образование мам и пап – это ключ к успеху.",1
"я уверен, это потому, что когда я теряюсь, мне кажется, что все относятся ко мне враждебно, и я ненавижу это чувство",3
"мне кажется, что это очень скучные вещи для шитья, потому что они такие простые, и о них больше нечего сказать, кроме того, как я использую ткань.",0
"мне всегда нравилось использовать оригинальный аромат, чтобы освежить и слегка ароматизировать ящик с нижним бельем, чтобы почувствовать себя великолепно гламурной и девчачьей.",1
"я чувствую себя талантливым молодым человеком, я не чувствую себя талантливым, тогда мне не с кем работать",1
мне интересно все это вокруг,5
"Я чувствую, что причина, по которой мы отделены от жизни друг друга, заключается в том, что я в его власти помочь ему стать чем-то, что подтолкнет его к успеху, успеху и счастью.",1
"мне сейчас так некомфортно со всеми ними, наверное, это я",4
"я пока чувствую себя довольно спокойно в отношении того, какой процесс заживления ран идет полным ходом",1
"иногда я задаюсь вопросом, не усилил ли я только что антагонизм и непонимание, которые многие люди испытывают по отношению к тем из нас, кто не хочет искренне поддерживать традиционные воспоминания о Дне перемирия",4
"мои ноги будут дерьмовыми на протяжении нескольких миль, но я приду в себя, как всегда",0
"я знаю, что это несправедливая реакция, но у меня закончились способы объяснить, что я чувствую себя потрясенным, это лучшее, что я могу придумать прямо сейчас",4
"я серьезно чувствую себя таким счастливым за поддержку, которую я получаю дома, это потрясающе",2
"я чувствую себя обиженным и оклеветанным, но больше всего устал от нервного чувства предвкушения опасности",0
"я сейчас чувствую себя довольно беспокойно, пока печатаю это",4
"Я знаю, что Госманс — это туристическое место, если вы находитесь в районе Монтаука, но нечастые посетители этого района хотят отправиться туда в гавань, почувствуйте нежное карканье чаек, плещущихся о деревянные сваи, и расслабляющий бриз, доносящийся с воды.",2
